age,job,marital,education,balance,housing,duration,campaign,approval
32,entrepreneur,single,first,849,yes,184,1,no
,admin.,married,unknown,4629,yes,181,1,yes
45,bluecollar,divorced,first,844,no,1018,3,yes
37,technician,single,second,228,yes,1740,2,no
38,technician,single,second,50,no,98,2,no
34,technician,married,third,1539,yes,441,1,yes
53,bluecollar,married,second,2231,yes,272,3,no
48,admin.,married,second,6064,yes,159,2,no
57,management,married,second,82,no,140,1,no
63,selfemployed,single,third,2155,no,295,1,no
36,retired,single,second,101,yes,314,1,no
54,technician,divorced,second,784,,579,1,no
41,bluecollar,married,first,516,no,554,3,no
63,retired,married,second,415,yes,323,1,no
48,management,married,third,5887,no,227,2,no
48,services,married,second,1355,no,134,2,no
56,admin.,married,second,16873,no,223,1,no
51,bluecollar,divorced,second,183,yes,134,1,no
31,services,married,second,638,yes,155,1,no
29,technician,married,second,444,yes,160,4,no
41,management,married,second,0,no,660,3,no
32,technician,single,third,360,no,164,2,no
37,management,married,third,0,no,268,2,yes
42,entrepreneur,divorced,third,2,yes,380,1,no
31,management,single,third,6248,yes,154,2,no
41,services,married,third,412,yes,154,5,no
56,retired,married,second,344,yes,221,1,no
54,management,divorced,third,3222,no,67,2,no
41,bluecollar,divorced,second,174,yes,367,2,no
40,technician,single,second,591,no,87,6,no
50,bluecollar,divorced,first,388,no,701,1,no
40,unemployed,married,second,219,yes,184,2,no
27,admin.,divorced,second,451,yes,652,1,yes
60,retired,married,first,5,no,63,2,no
28,admin.,single,second,177,yes,150,1,no
52,services,married,second,657,no,398,2,yes
37,management,married,third,1315,no,224,1,yes
51,bluecollar,married,first,1466,yes,406,2,no
41,technician,single,second,879,no,60,4,no
35,bluecollar,single,first,293,yes,521,2,no
38,admin.,married,second,424,yes,279,1,no
34,bluecollar,married,second,1831,yes,183,2,no
39,bluecollar,married,first,111,no,181,2,no
34,bluecollar,married,first,455,,372,3,no
27,services,single,second,195,yes,391,1,yes
32,management,single,third,3616,no,165,2,no
57,bluecollar,married,second,14093,no,231,5,no
41,unknown,single,third,1567,no,291,2,no
41,admin.,married,third,5426,yes,149,2,no
60,admin.,single,third,261,no,263,1,no
36,bluecollar,divorced,second,2823,no,473,1,no
31,unemployed,single,first,406,no,736,1,yes
36,bluecollar,married,second,0,yes,637,1,no
38,management,single,third,493,yes,553,1,no
49,technician,married,second,5996,no,345,2,no
57,services,single,first,3777,yes,65,2,no
34,management,single,second,524,no,9,1,no
32,management,single,third,574,yes,259,2,no
37,bluecollar,married,second,427,yes,371,3,no
63,selfemployed,married,third,483,yes,280,2,no
56,unemployed,married,first,6391,no,223,1,yes
27,housemaid,married,first,0,yes,235,3,no
21,student,single,second,2488,no,258,6,yes
58,management,married,third,1517,yes,7,5,no
32,selfemployed,married,second,217,yes,317,5,no
63,bluecollar,single,second,22,no,76,2,no
25,student,single,second,631,no,170,4,yes
25,technician,single,second,505,no,386,2,yes
60,services,married,second,1808,yes,83,2,no
22,admin.,single,second,4111,no,65,1,no
39,bluecollar,married,first,52,no,69,1,no
46,management,divorced,third,25,no,564,2,no
31,admin.,divorced,second,1890,yes,588,1,no
45,bluecollar,married,first,419,no,113,4,no
32,technician,married,second,2693,yes,16,1,no
36,bluecollar,married,second,231,no,779,2,no
51,management,single,third,55,yes,281,2,no
34,selfemployed,single,third,462,no,1877,3,yes
24,unemployed,single,second,119,no,51,1,no
45,technician,single,second,586,no,32,3,no
32,bluecollar,single,second,228,no,176,1,no
77,retired,divorced,third,4659,no,161,1,yes
41,bluecollar,married,first,168,yes,187,3,no
37,bluecollar,married,first,0,yes,24,1,no
23,bluecollar,married,unknown,715,yes,67,3,no
48,admin.,married,unknown,0,yes,85,1,no
27,technician,single,second,769,yes,317,2,no
63,management,single,third,0,no,98,10,no
29,admin.,single,second,428,yes,54,1,no
34,management,single,third,0,no,71,1,no
52,management,married,third,970,yes,489,1,yes
60,management,married,unknown,6313,no,39,2,no
32,management,divorced,third,948,no,184,2,no
32,management,single,third,0,yes,455,2,no
56,services,divorced,unknown,1877,yes,86,1,no
31,management,single,third,874,yes,190,2,no
42,admin.,married,second,323,yes,280,2,no
35,management,married,third,106,no,588,2,no
56,retired,married,first,1906,no,45,9,no
48,technician,married,second,1152,yes,168,5,no
46,admin.,married,second,179,yes,194,4,no
37,technician,single,unknown,391,yes,103,3,no
41,entrepreneur,married,unknown,89,yes,633,2,no
36,management,single,third,442,yes,102,3,no
45,unemployed,divorced,first,249,yes,92,1,no
55,entrepreneur,married,second,8104,no,213,2,no
39,technician,married,second,501,no,289,1,no
35,technician,divorced,second,608,no,77,2,no
55,admin.,married,second,602,no,324,3,yes
55,technician,married,second,273,yes,84,3,no
27,selfemployed,single,second,50,no,168,1,no
34,technician,married,second,1641,yes,380,1,no
34,bluecollar,married,third,18,no,10,1,no
25,admin.,single,second,4590,yes,199,2,no
41,admin.,single,second,256,no,35,3,no
23,services,married,second,978,yes,82,2,no
28,management,single,third,80,no,676,2,yes
31,admin.,single,second,2104,yes,455,1,no
78,housemaid,married,second,499,no,80,4,no
45,bluecollar,divorced,second,1269,yes,549,2,no
48,technician,married,third,310,no,135,1,no
32,bluecollar,single,second,1123,yes,412,1,no
42,technician,married,second,2980,no,101,3,no
37,management,single,third,37,no,253,2,no
40,admin.,single,second,462,yes,272,1,no
32,admin.,married,second,1031,yes,84,1,no
42,management,married,third,9009,no,135,2,no
23,admin.,married,second,465,yes,166,1,no
44,admin.,married,second,5181,yes,18,7,no
37,admin.,married,second,176,yes,147,2,no
37,unknown,married,unknown,1699,no,63,1,no
37,admin.,married,third,0,yes,65,2,no
28,technician,single,third,172,yes,194,2,no
32,services,single,second,0,no,633,2,no
34,admin.,single,second,6979,yes,14,5,no
40,admin.,divorced,second,6,no,140,1,no
34,services,married,second,62,yes,109,3,no
34,selfemployed,married,third,1972,yes,61,2,no
34,admin.,married,third,899,yes,377,3,no
37,services,single,second,21,yes,96,1,no
36,technician,married,second,23,yes,152,2,no
56,retired,married,second,1186,yes,382,2,yes
49,bluecollar,married,first,0,yes,97,6,no
63,selfemployed,married,second,215,yes,523,12,no
60,management,single,third,1372,no,240,2,no
36,services,married,second,1981,no,48,2,no
23,student,single,second,9216,no,471,2,no
57,retired,divorced,second,39,yes,354,3,no
27,bluecollar,single,second,5563,yes,235,2,no
38,services,married,second,1,no,152,2,no
42,technician,married,third,782,no,285,1,no
75,retired,married,second,3771,no,185,1,yes
34,technician,single,third,992,yes,601,1,no
48,technician,married,second,1526,no,273,2,no
35,technician,single,third,2658,yes,768,2,yes
39,management,divorced,third,1315,yes,1637,4,no
29,bluecollar,single,third,455,no,403,1,yes
45,technician,single,third,0,yes,139,2,no
42,technician,married,second,1860,yes,196,1,no
29,technician,married,second,1599,yes,115,1,no
38,services,single,second,196,yes,60,1,no
56,retired,married,second,1633,no,17,14,no
36,technician,single,second,9149,yes,141,3,no
25,bluecollar,single,second,350,yes,95,3,no
38,technician,married,third,232,yes,10,2,no
57,selfemployed,married,second,11494,no,198,1,no
31,management,married,third,253,no,218,4,no
42,management,married,third,372,yes,654,2,yes
45,technician,married,second,1410,no,71,2,no
60,bluecollar,married,second,975,yes,256,2,no
49,bluecollar,married,first,605,yes,834,10,no
49,services,married,second,400,no,151,3,no
53,retired,married,third,22,yes,18,3,no
37,technician,married,second,4060,yes,178,5,no
49,bluecollar,married,first,365,no,59,2,no
41,selfemployed,married,first,184,no,111,7,no
54,management,married,first,1691,yes,186,1,no
32,services,single,second,406,yes,227,1,no
63,technician,married,second,184,no,297,3,no
63,technician,married,second,359,yes,210,1,no
36,bluecollar,married,first,123,yes,9,1,no
35,technician,married,third,0,yes,112,1,no
52,unknown,married,second,142,no,112,6,no
40,entrepreneur,married,third,3571,no,222,3,no
44,technician,single,second,63,yes,195,3,no
45,bluecollar,single,second,0,yes,768,2,no
60,student,single,second,6096,no,123,1,no
48,technician,divorced,second,18,no,145,3,no
63,bluecollar,married,second,3576,yes,124,1,no
57,technician,married,unknown,186,yes,216,3,no
57,housemaid,married,first,7082,no,69,3,no
51,unemployed,married,third,1634,yes,168,4,no
34,admin.,single,second,1,yes,483,7,no
50,selfemployed,married,third,4012,no,690,3,no
44,management,married,third,3762,no,125,12,no
27,admin.,married,second,247,yes,344,2,no
50,bluecollar,married,second,606,yes,673,2,no
36,management,married,third,0,yes,60,1,no
42,management,married,second,189,yes,247,2,no
32,unemployed,single,second,0,no,123,2,no
42,management,married,third,484,yes,144,2,no
23,technician,married,second,0,no,9,2,no
31,management,married,third,395,yes,155,3,no
32,management,married,third,2349,no,134,5,no
55,bluecollar,divorced,first,410,no,221,2,no
58,retired,married,first,3401,yes,84,3,no
46,bluecollar,married,first,222,no,71,2,no
55,bluecollar,married,second,989,yes,246,4,no
34,management,married,third,415,no,361,2,no
28,unemployed,single,second,16,no,119,4,no
42,technician,divorced,third,7190,yes,375,2,no
29,bluecollar,single,second,482,no,1097,3,yes
54,housemaid,married,second,189,yes,97,1,no
32,technician,single,second,0,no,181,2,no
39,technician,single,third,5803,no,83,3,no
53,entrepreneur,married,third,624,no,180,4,no
58,technician,married,third,883,no,523,1,no
40,selfemployed,married,second,1516,yes,373,1,no
29,student,single,second,872,yes,260,1,no
63,technician,married,third,988,yes,83,3,no
38,admin.,single,second,902,yes,58,13,no
56,services,divorced,second,1007,no,88,6,no
40,services,married,second,0,yes,297,1,no
24,bluecollar,single,second,174,yes,487,1,yes
46,management,married,second,12186,no,29,3,no
35,selfemployed,married,second,524,yes,484,4,no
35,bluecollar,single,third,0,yes,262,4,no
34,technician,married,second,4,yes,644,1,no
35,housemaid,married,third,11219,no,699,2,no
38,technician,single,third,0,no,247,2,no
50,bluecollar,married,first,5776,no,49,3,no
51,bluecollar,divorced,first,37,yes,341,1,no
59,selfemployed,married,third,593,no,64,2,no
32,bluecollar,married,second,1148,yes,121,1,no
37,bluecollar,single,second,3561,yes,98,1,no
42,admin.,divorced,second,63,no,88,6,no
40,student,married,second,260,no,197,6,no
28,technician,single,third,2269,yes,631,1,no
47,admin.,married,second,1060,yes,83,3,no
27,selfemployed,married,second,218,yes,138,2,no
41,management,married,third,49,yes,312,5,no
34,admin.,married,third,69,no,118,3,yes
50,bluecollar,married,first,4108,yes,526,2,yes
47,bluecollar,married,second,480,yes,211,2,no
53,services,married,second,4994,no,62,6,no
53,technician,divorced,second,0,yes,135,5,no
47,management,married,third,3681,no,101,2,no
49,entrepreneur,divorced,unknown,701,yes,988,2,yes
29,management,married,third,451,no,451,1,no
45,bluecollar,divorced,first,311,yes,1060,1,yes
38,entrepreneur,married,second,593,yes,1484,24,yes
32,bluecollar,married,second,759,yes,317,5,yes
70,retired,divorced,first,4531,no,445,1,no
65,retired,divorced,first,1840,no,383,2,no
56,bluecollar,married,second,345,yes,605,1,no
35,bluecollar,married,second,1287,yes,360,2,no
56,management,married,unknown,353,no,171,2,no
56,technician,married,second,185,no,442,2,no
49,entrepreneur,married,second,687,yes,772,1,yes
38,unemployed,married,first,1147,yes,249,5,no
35,management,married,third,4286,yes,357,1,no
38,admin.,married,third,605,no,147,2,no
49,bluecollar,married,second,8545,yes,199,7,no
55,management,married,unknown,559,no,271,2,no
23,bluecollar,single,first,2,yes,783,3,no
23,management,married,third,2,no,472,2,no
25,admin.,single,third,760,yes,223,3,yes
60,bluecollar,married,first,1317,yes,395,2,no
46,bluecollar,married,second,182,no,56,1,no
50,admin.,married,first,276,no,641,6,no
35,entrepreneur,married,second,2971,no,429,4,yes
26,unemployed,single,second,1064,no,113,1,no
45,admin.,married,unknown,1783,no,11,11,no
37,bluecollar,married,second,67,no,157,1,no
60,selfemployed,single,third,179,no,79,4,no
38,management,married,third,1199,no,178,1,yes
47,bluecollar,married,first,214,yes,168,1,no
63,technician,married,second,6699,no,425,1,no
51,unemployed,married,second,1760,no,162,1,no
35,entrepreneur,single,third,145,yes,799,2,yes
35,unemployed,married,second,978,no,1370,3,yes
48,admin.,single,second,1150,yes,357,1,no
37,admin.,married,second,121,no,22,6,no
29,technician,single,third,828,yes,215,3,no
34,admin.,married,second,244,yes,56,4,no
32,services,married,first,228,yes,1017,6,yes
60,management,single,third,424,no,298,4,yes
47,management,divorced,third,447,no,126,1,no
63,bluecollar,married,first,195,no,9,1,no
63,management,single,third,1410,yes,8,1,no
63,retired,married,first,1084,no,181,1,no
51,selfemployed,divorced,first,10924,no,106,2,no
41,management,married,third,832,yes,164,1,no
56,retired,married,third,478,no,97,1,no
60,management,single,third,0,no,151,1,no
41,selfemployed,single,third,3950,yes,96,2,no
37,management,single,unknown,504,yes,555,1,no
36,bluecollar,single,second,219,yes,270,2,no
57,management,married,third,1602,no,639,3,no
55,management,married,first,2587,no,328,2,yes
44,admin.,married,second,0,yes,159,1,no
47,selfemployed,married,third,2603,yes,323,2,no
31,bluecollar,married,second,1660,yes,342,1,no
35,management,married,third,32,yes,180,1,no
39,management,married,third,278,no,60,3,no
50,management,married,third,4,no,223,1,no
29,management,married,third,318,yes,1234,2,no
60,services,single,second,189,yes,60,2,no
46,services,married,second,271,yes,134,4,no
27,management,single,unknown,3196,no,10,2,no
48,admin.,divorced,second,4099,no,397,2,yes
26,student,single,second,2572,yes,618,1,no
36,management,single,third,639,no,6,6,no
42,bluecollar,married,first,0,yes,189,2,no
50,housemaid,married,first,395,yes,419,2,no
49,bluecollar,married,second,1839,yes,283,2,no
45,management,married,third,5450,no,188,2,no
23,student,single,second,780,no,267,1,no
38,technician,single,second,0,yes,196,2,no
32,management,single,third,8236,yes,245,1,no
60,technician,single,first,11262,no,323,1,yes
60,entrepreneur,married,second,946,yes,1065,1,no
58,housemaid,married,third,497,no,138,5,no
60,retired,married,first,55,no,187,1,no
38,services,married,second,140,no,456,3,no
51,technician,married,second,379,yes,261,1,no
42,admin.,married,second,396,yes,80,1,no
60,services,single,second,0,yes,131,6,no
40,management,married,first,763,yes,94,7,no
37,management,married,third,393,yes,567,3,yes
53,technician,divorced,first,7290,yes,153,1,no
27,services,single,second,468,yes,109,1,no
39,bluecollar,married,second,0,yes,53,1,no
39,bluecollar,married,first,3705,yes,77,1,no
59,retired,married,third,9676,no,234,2,yes
37,services,married,second,1328,yes,121,2,no
41,bluecollar,married,first,8,yes,155,2,no
45,bluecollar,married,first,61,no,108,1,no
48,management,married,third,6613,no,159,3,no
48,technician,married,second,602,yes,188,3,no
32,bluecollar,married,second,1005,no,215,1,no
35,services,married,second,109,yes,597,3,no
63,management,single,third,1240,yes,505,2,no
28,bluecollar,single,first,0,yes,380,4,no
64,retired,married,unknown,2923,no,118,1,no
35,technician,married,second,0,no,106,4,no
63,bluecollar,married,second,23,yes,632,2,no
41,technician,married,second,288,yes,221,4,no
34,admin.,married,second,613,yes,80,1,no
37,technician,single,third,6101,no,60,5,no
38,bluecollar,married,first,168,yes,212,3,no
39,bluecollar,married,first,7685,yes,493,3,no
35,technician,divorced,third,4515,yes,98,2,no
28,bluecollar,single,second,517,no,681,1,yes
27,bluecollar,single,second,148,no,183,1,no
48,retired,married,first,285,no,157,1,no
50,bluecollar,married,second,887,no,287,1,no
45,selfemployed,married,second,6098,yes,159,2,no
41,technician,married,third,744,yes,125,1,no
39,technician,married,second,160,no,182,2,no
44,management,married,second,238,yes,37,3,no
54,admin.,married,second,0,no,161,1,yes
49,management,married,third,322,no,72,4,no
34,bluecollar,single,second,186,no,342,1,no
75,retired,divorced,third,3810,yes,262,1,yes
42,management,married,third,0,no,325,2,no
53,bluecollar,married,second,2380,no,223,7,no
49,management,divorced,third,755,no,1212,4,yes
31,services,single,second,1870,no,319,2,no
45,bluecollar,single,first,999,no,182,2,no
39,selfemployed,married,second,167,yes,360,1,no
46,technician,married,second,1322,yes,514,1,no
42,admin.,divorced,second,1076,yes,213,1,no
37,management,married,third,502,yes,551,1,no
26,technician,single,third,1216,yes,472,2,no
37,management,single,third,876,yes,140,4,no
36,services,single,second,342,yes,142,1,no
29,bluecollar,single,first,950,yes,135,3,no
36,bluecollar,married,first,973,yes,293,1,no
26,technician,married,third,3825,yes,107,1,no
32,bluecollar,married,second,2366,yes,127,2,no
40,management,married,third,542,yes,1816,1,no
53,management,married,first,995,no,180,3,no
29,management,married,third,18,yes,418,1,no
34,technician,single,third,228,yes,387,4,no
23,bluecollar,married,second,160,no,156,1,no
56,management,married,third,217,no,121,2,no
55,entrepreneur,divorced,third,0,no,108,2,no
31,selfemployed,married,third,259,yes,47,1,no
27,admin.,single,second,619,yes,16,5,no
36,management,married,second,644,yes,54,2,no
44,management,married,third,22,yes,265,2,no
37,admin.,divorced,third,4603,yes,168,1,no
60,admin.,single,second,239,yes,115,3,no
42,technician,single,second,275,no,31,8,no
60,management,married,third,1221,yes,279,4,yes
62,retired,married,second,816,no,28,2,no
24,bluecollar,married,second,1222,yes,369,1,no
31,technician,married,second,2363,yes,247,1,no
66,retired,married,third,2262,no,155,1,no
47,admin.,married,second,2,no,89,1,no
39,entrepreneur,married,third,2,yes,180,1,no
35,technician,married,second,4508,yes,854,1,yes
35,admin.,divorced,second,402,yes,46,1,no
27,technician,married,second,1577,yes,266,2,no
32,bluecollar,married,second,34,yes,321,2,no
44,management,married,third,795,no,99,24,no
42,bluecollar,married,second,117,yes,147,1,no
34,selfemployed,,third,5462,no,460,1,yes
25,services,single,second,402,no,264,1,no
40,technician,single,second,641,no,156,6,no
23,management,divorced,third,36,no,118,1,no
55,unemployed,married,third,383,no,323,3,no
50,bluecollar,married,second,283,yes,226,3,no
45,management,divorced,third,0,no,5,1,no
35,bluecollar,divorced,second,3102,yes,138,1,no
32,bluecollar,married,second,889,yes,185,1,yes
59,housemaid,married,second,0,no,722,1,no
34,selfemployed,married,second,370,yes,748,1,no
39,management,married,third,606,yes,142,1,no
40,management,single,second,10378,yes,523,3,no
36,bluecollar,single,first,1313,yes,8,10,no
40,management,married,third,8969,yes,153,1,no
55,selfemployed,married,second,196,yes,210,2,no
38,entrepreneur,married,second,15,yes,121,1,no
61,admin.,married,second,4608,no,212,1,yes
41,management,married,third,666,yes,253,3,no
57,bluecollar,married,first,452,yes,139,4,no
48,bluecollar,married,second,149,yes,71,1,no
77,retired,married,third,7802,no,421,1,yes
35,services,married,second,1453,yes,199,1,no
54,bluecollar,married,second,1480,yes,108,1,no
37,management,single,unknown,715,yes,247,2,no
56,management,single,second,237,yes,236,4,no
40,technician,married,second,694,yes,97,4,no
40,management,married,third,0,no,109,8,no
54,management,married,third,55,yes,112,2,no
55,housemaid,married,first,136,yes,15,10,no
55,services,divorced,second,404,yes,502,3,no
52,bluecollar,married,first,779,yes,60,3,no
55,bluecollar,single,first,1187,yes,193,2,no
63,management,married,third,641,yes,347,2,no
52,bluecollar,married,unknown,826,yes,468,2,no
63,services,divorced,second,991,yes,148,1,no
53,admin.,married,second,1796,no,295,1,yes
46,admin.,married,second,22,no,388,6,yes
44,technician,single,second,244,yes,1735,4,yes
48,management,divorced,third,1328,yes,639,1,no
50,housemaid,married,second,7317,yes,172,1,no
34,technician,single,second,4923,yes,117,2,no
38,technician,single,second,258,no,587,2,no
42,management,single,third,515,yes,501,2,no
32,management,single,third,12607,no,183,5,no
58,admin.,married,second,2,yes,282,9,no
31,management,married,third,13,no,110,5,no
19,student,single,first,103,no,104,2,yes
41,management,married,third,3872,no,231,1,no
31,unemployed,married,second,296,yes,378,3,no
52,selfemployed,single,first,217,no,193,6,no
42,selfemployed,divorced,third,360,yes,110,5,no
41,bluecollar,single,second,428,yes,92,1,no
60,bluecollar,single,second,315,no,1407,1,yes
38,bluecollar,married,second,121,yes,168,1,no
32,management,married,third,818,yes,738,3,no
52,technician,married,second,195,yes,218,1,yes
48,management,divorced,third,108,yes,89,2,no
36,management,married,third,381,yes,60,29,no
45,unemployed,divorced,first,757,no,103,1,no
34,technician,married,third,691,yes,70,1,no
36,bluecollar,married,first,1925,yes,904,2,yes
34,management,married,third,902,yes,159,1,no
61,retired,married,second,5187,no,636,1,no
54,services,married,second,0,no,218,1,no
50,entrepreneur,married,second,665,no,238,1,no
23,admin.,divorced,second,738,yes,585,4,no
47,bluecollar,married,first,263,no,293,3,no
45,services,married,second,839,yes,68,1,no
57,retired,married,first,5799,no,97,1,no
27,admin.,married,second,1063,yes,1713,1,no
49,unemployed,divorced,second,66,no,218,3,no
23,services,married,first,2567,yes,109,1,no
40,management,married,third,1584,yes,661,1,no
32,services,single,second,182,yes,145,1,no
58,management,married,first,76,yes,54,4,no
34,admin.,single,second,663,yes,111,1,no
46,technician,divorced,second,3455,yes,566,2,no
29,bluecollar,married,second,15,no,136,1,no
52,bluecollar,married,first,1054,no,273,1,no
45,management,married,third,1529,no,160,1,no
26,management,single,second,63,no,76,4,no
40,technician,married,third,0,no,44,1,no
41,admin.,married,second,918,yes,239,1,no
47,admin.,single,second,3696,no,250,2,yes
27,technician,single,unknown,59,no,792,4,no
27,services,married,second,0,yes,198,13,no
48,bluecollar,married,second,157,yes,73,1,no
49,admin.,married,second,2465,no,157,3,no
35,bluecollar,married,first,0,yes,90,6,no
47,selfemployed,married,second,2,no,236,2,no
54,management,married,third,0,no,118,5,no
39,management,single,third,12237,no,40,1,no
28,student,single,second,378,yes,346,1,no
54,bluecollar,married,first,211,no,180,2,no
34,technician,married,second,228,yes,187,3,no
63,retired,married,second,2747,no,113,1,no
42,selfemployed,married,third,1932,yes,192,32,no
23,technician,single,second,11269,no,92,1,no
37,admin.,married,second,1314,yes,682,2,no
55,bluecollar,married,first,2275,no,139,9,no
23,management,single,third,1604,no,501,2,yes
41,bluecollar,married,second,718,no,651,1,yes
47,technician,divorced,second,2914,yes,405,13,no
34,technician,married,second,1464,yes,350,1,no
28,student,single,second,11555,no,125,2,no
36,services,married,second,602,yes,36,2,no
50,technician,married,second,2497,yes,35,1,no
35,bluecollar,married,second,639,yes,389,2,no
40,technician,married,second,56,yes,194,1,no
26,selfemployed,single,third,211,no,168,3,no
36,management,divorced,third,3611,yes,347,3,no
59,unemployed,married,first,0,no,6025,2,no
28,student,single,second,459,no,83,13,no
46,entrepreneur,married,unknown,242,yes,632,2,no
50,selfemployed,married,second,1138,no,219,10,no
53,management,married,third,1319,yes,427,1,no
81,retired,married,second,1,no,65,5,no
35,services,divorced,second,67,yes,192,2,no
58,retired,married,unknown,937,no,155,1,no
44,services,married,second,0,yes,161,1,no
38,management,married,third,558,yes,563,1,no
49,bluecollar,married,second,171,no,19,3,no
63,technician,single,third,696,no,193,1,no
29,management,married,third,361,yes,819,3,no
28,technician,single,second,227,no,278,1,yes
31,admin.,married,second,236,yes,211,3,no
63,management,single,third,53,no,617,2,no
52,technician,married,second,192,yes,61,2,no
23,management,divorced,third,38,yes,197,6,no
32,selfemployed,single,second,518,yes,34,7,no
36,selfemployed,married,third,16,yes,95,4,no
41,bluecollar,married,second,256,yes,147,2,no
23,bluecollar,married,second,105,no,668,2,no
45,selfemployed,married,third,634,no,87,2,no
39,technician,married,second,1048,no,405,1,no
41,services,married,second,108,yes,83,7,no
31,technician,married,second,660,no,115,1,no
37,unemployed,single,third,0,yes,108,1,no
28,entrepreneur,married,unknown,1034,no,113,1,no
47,housemaid,married,first,181,yes,58,2,no
37,housemaid,married,first,189,no,148,4,no
60,retired,divorced,unknown,49,yes,188,1,no
23,technician,divorced,second,1413,yes,75,3,no
58,retired,divorced,third,264,yes,523,3,no
52,entrepreneur,married,third,54,yes,103,1,no
50,bluecollar,married,first,12519,yes,146,2,no
32,services,single,second,2881,no,356,1,yes
42,bluecollar,married,first,0,yes,71,1,no
31,admin.,married,second,88,yes,189,2,no
28,bluecollar,married,second,1018,yes,251,1,no
36,technician,divorced,third,119,no,127,8,no
51,unemployed,single,third,1594,no,197,1,no
46,technician,married,third,342,yes,84,1,no
50,services,single,second,72,no,141,2,no
32,bluecollar,married,second,14,yes,171,1,no
26,entrepreneur,single,third,81,no,262,3,no
41,selfemployed,married,third,231,no,352,2,yes
39,technician,married,third,1161,yes,236,1,no
31,bluecollar,married,second,45,yes,184,1,no
28,management,single,third,231,yes,568,2,no
31,management,single,second,36,no,105,2,no
60,technician,married,third,1570,yes,260,1,no
35,technician,married,third,7050,no,222,3,yes
63,bluecollar,married,first,3704,yes,447,2,no
60,technician,single,third,6619,yes,239,8,no
32,bluecollar,single,second,84,yes,426,1,no
40,management,single,third,1509,no,633,1,no
31,selfemployed,married,third,1134,no,174,2,no
36,technician,married,second,146,yes,284,2,no
63,management,single,third,9449,yes,428,1,no
57,retired,married,second,374,yes,236,1,no
45,technician,married,second,88,no,150,2,no
59,management,married,third,2764,no,237,1,no
60,management,single,third,2,yes,1031,8,yes
63,technician,married,third,8023,no,107,1,no
52,bluecollar,married,second,289,yes,45,13,no
83,retired,married,second,0,no,140,10,no
58,selfemployed,divorced,third,1382,no,700,1,yes
63,management,divorced,third,280,no,155,1,no
41,bluecollar,divorced,first,2195,yes,211,5,no
31,selfemployed,married,second,63,no,165,4,no
35,bluecollar,divorced,second,275,no,144,5,no
27,management,single,third,703,yes,590,3,yes
57,admin.,divorced,unknown,887,no,23,8,no
56,unknown,married,unknown,0,no,471,2,no
53,admin.,single,second,1178,yes,295,2,no
39,management,married,third,2763,yes,526,2,yes
32,entrepreneur,single,third,890,yes,27,10,no
46,selfemployed,married,second,548,no,1181,4,yes
56,technician,married,third,272,no,103,2,no
46,management,divorced,third,6269,yes,249,3,no
29,entrepreneur,married,second,178,yes,231,4,no
60,management,married,first,252,yes,123,2,no
63,housemaid,single,third,23663,yes,199,2,no
27,entrepreneur,single,third,81,no,197,1,no
50,selfemployed,divorced,third,59,yes,67,2,no
45,services,married,second,1323,no,218,1,no
58,retired,married,second,225,no,122,6,no
59,retired,married,first,0,yes,104,7,no
58,retired,divorced,first,2538,yes,607,6,no
64,retired,married,first,23,no,117,1,no
